OID_,Name,Month,TweetCount,Shape_Length,Shape_Area,MONTH2
1,Cherkasy,October,1379.000000000000000,13.061576448322075,2.586719638034981,10.000000000000000
2,Cherkasy,September,1130.000000000000000,13.061576448322075,2.586719638034981,9.000000000000000
3,Cherkasy,August,1878.000000000000000,13.061576448322075,2.586719638034981,8.000000000000000
4,Cherkasy,July,1905.000000000000000,13.061576448322075,2.586719638034981,7.000000000000000
5,Cherkasy,June,1498.000000000000000,13.061576448322075,2.586719638034981,6.000000000000000
6,Cherkasy,May,1724.000000000000000,13.061576448322075,2.586719638034981,5.000000000000000
7,Cherkasy,April,2664.000000000000000,13.061576448322075,2.586719638034981,4.000000000000000
8,Cherkasy,March,4973.000000000000000,13.061576448322075,2.586719638034981,3.000000000000000
9,Cherkasy,February,2037.000000000000000,13.061576448322075,2.586719638034981,2.000000000000000
10,Chernihiv,October,0.000000000000000,13.569186283426003,4.188213364654287,10.000000000000000
11,Chernihiv,September,0.000000000000000,13.569186283426003,4.188213364654287,9.000000000000000
12,Chernihiv,August,0.000000000000000,13.569186283426003,4.188213364654287,8.000000000000000
13,Chernihiv,July,0.000000000000000,13.569186283426003,4.188213364654287,7.000000000000000
14,Chernihiv,June,0.000000000000000,13.569186283426003,4.188213364654287,6.000000000000000
15,Chernihiv,May,2.000000000000000,13.569186283426003,4.188213364654287,5.000000000000000
16,Chernihiv,April,1.000000000000000,13.569186283426003,4.188213364654287,4.000000000000000
17,Chernihiv,March,2.000000000000000,13.569186283426003,4.188213364654287,3.000000000000000
18,Chernihiv,February,2.000000000000000,13.569186283426003,4.188213364654287,2.000000000000000
19,Chernivtsi,October,0.000000000000000,8.798932754319774,0.994410545554991,10.000000000000000
20,Chernivtsi,September,1.000000000000000,8.798932754319774,0.994410545554991,9.000000000000000
21,Chernivtsi,August,4.000000000000000,8.798932754319774,0.994410545554991,8.000000000000000
22,Chernivtsi,July,0.000000000000000,8.798932754319774,0.994410545554991,7.000000000000000
23,Chernivtsi,June,2.000000000000000,8.798932754319774,0.994410545554991,6.000000000000000
24,Chernivtsi,May,4.000000000000000,8.798932754319774,0.994410545554991,5.000000000000000
25,Chernivtsi,April,10.000000000000000,8.798932754319774,0.994410545554991,4.000000000000000
26,Chernivtsi,March,28.000000000000000,8.798932754319774,0.994410545554991,3.000000000000000
27,Chernivtsi,February,23.000000000000000,8.798932754319774,0.994410545554991,2.000000000000000
28,Crimea,October,0.000000000000000,19.463740715371866,3.021857217071025,10.000000000000000
29,Crimea,September,0.000000000000000,19.463740715371866,3.021857217071025,9.000000000000000
30,Crimea,August,2.000000000000000,19.463740715371866,3.021857217071025,8.000000000000000
31,Crimea,July,0.000000000000000,19.463740715371866,3.021857217071025,7.000000000000000
32,Crimea,June,0.000000000000000,19.463740715371866,3.021857217071025,6.000000000000000
33,Crimea,May,1.000000000000000,19.463740715371866,3.021857217071025,5.000000000000000
34,Crimea,April,0.000000000000000,19.463740715371866,3.021857217071025,4.000000000000000
35,Crimea,March,1.000000000000000,19.463740715371866,3.021857217071025,3.000000000000000
36,Crimea,February,2.000000000000000,19.463740715371866,3.021857217071025,2.000000000000000
37,Dnipropetrovs'k,October,1.000000000000000,16.052471404302750,3.849581679224948,10.000000000000000
38,Dnipropetrovs'k,September,2.000000000000000,16.052471404302750,3.849581679224948,9.000000000000000
39,Dnipropetrovs'k,August,2.000000000000000,16.052471404302750,3.849581679224948,8.000000000000000
40,Dnipropetrovs'k,July,5.000000000000000,16.052471404302750,3.849581679224948,7.000000000000000
41,Dnipropetrovs'k,June,3.000000000000000,16.052471404302750,3.849581679224948,6.000000000000000
42,Dnipropetrovs'k,May,6.000000000000000,16.052471404302750,3.849581679224948,5.000000000000000
43,Dnipropetrovs'k,April,6.000000000000000,16.052471404302750,3.849581679224948,4.000000000000000
44,Dnipropetrovs'k,March,3.000000000000000,16.052471404302750,3.849581679224948,3.000000000000000
45,Dnipropetrovs'k,February,4.000000000000000,16.052471404302750,3.849581679224948,2.000000000000000
46,Donets'k,October,2.000000000000000,14.425368792399752,3.207128304376574,10.000000000000000
47,Donets'k,September,0.000000000000000,14.425368792399752,3.207128304376574,9.000000000000000
48,Donets'k,August,1.000000000000000,14.425368792399752,3.207128304376574,8.000000000000000
49,Donets'k,July,7.000000000000000,14.425368792399752,3.207128304376574,7.000000000000000
50,Donets'k,June,0.000000000000000,14.425368792399752,3.207128304376574,6.000000000000000
51,Donets'k,May,11.000000000000000,14.425368792399752,3.207128304376574,5.000000000000000
52,Donets'k,April,7.000000000000000,14.425368792399752,3.207128304376574,4.000000000000000
53,Donets'k,March,9.000000000000000,14.425368792399752,3.207128304376574,3.000000000000000
54,Donets'k,February,1.000000000000000,14.425368792399752,3.207128304376574,2.000000000000000
55,Ivano-Frankivs'k,October,5.000000000000000,9.259298877860347,1.687609179132036,10.000000000000000
56,Ivano-Frankivs'k,September,5.000000000000000,9.259298877860347,1.687609179132036,9.000000000000000
57,Ivano-Frankivs'k,August,3.000000000000000,9.259298877860347,1.687609179132036,8.000000000000000
58,Ivano-Frankivs'k,July,8.000000000000000,9.259298877860347,1.687609179132036,7.000000000000000
59,Ivano-Frankivs'k,June,8.000000000000000,9.259298877860347,1.687609179132036,6.000000000000000
60,Ivano-Frankivs'k,May,8.000000000000000,9.259298877860347,1.687609179132036,5.000000000000000
61,Ivano-Frankivs'k,April,9.000000000000000,9.259298877860347,1.687609179132036,4.000000000000000
62,Ivano-Frankivs'k,March,46.000000000000000,9.259298877860347,1.687609179132036,3.000000000000000
63,Ivano-Frankivs'k,February,17.000000000000000,9.259298877860347,1.687609179132036,2.000000000000000
64,Kharkiv,October,4.000000000000000,13.732527010571879,3.909231207549294,10.000000000000000
65,Kharkiv,September,3.000000000000000,13.732527010571879,3.909231207549294,9.000000000000000
66,Kharkiv,August,8.000000000000000,13.732527010571879,3.909231207549294,8.000000000000000
67,Kharkiv,July,10.000000000000000,13.732527010571879,3.909231207549294,7.000000000000000
68,Kharkiv,June,13.000000000000000,13.732527010571879,3.909231207549294,6.000000000000000
69,Kharkiv,May,29.000000000000000,13.732527010571879,3.909231207549294,5.000000000000000
70,Kharkiv,April,52.000000000000000,13.732527010571879,3.909231207549294,4.000000000000000
71,Kharkiv,March,28.000000000000000,13.732527010571879,3.909231207549294,3.000000000000000
72,Kharkiv,February,5.000000000000000,13.732527010571879,3.909231207549294,2.000000000000000
73,Kherson,October,6.000000000000000,25.250485915016924,3.002440720407990,10.000000000000000
74,Kherson,September,3.000000000000000,25.250485915016924,3.002440720407990,9.000000000000000
75,Kherson,August,4.000000000000000,25.250485915016924,3.002440720407990,8.000000000000000
76,Kherson,July,2.000000000000000,25.250485915016924,3.002440720407990,7.000000000000000
77,Kherson,June,4.000000000000000,25.250485915016924,3.002440720407990,6.000000000000000
78,Kherson,May,0.000000000000000,25.250485915016924,3.002440720407990,5.000000000000000
79,Kherson,April,8.000000000000000,25.250485915016924,3.002440720407990,4.000000000000000
80,Kherson,March,17.000000000000000,25.250485915016924,3.002440720407990,3.000000000000000
81,Kherson,February,1.000000000000000,25.250485915016924,3.002440720407990,2.000000000000000
82,Khmel'nyts'kyy,October,0.000000000000000,10.481582932701871,2.574920249198474,10.000000000000000
83,Khmel'nyts'kyy,September,0.000000000000000,10.481582932701871,2.574920249198474,9.000000000000000
84,Khmel'nyts'kyy,August,1.000000000000000,10.481582932701871,2.574920249198474,8.000000000000000
85,Khmel'nyts'kyy,July,2.000000000000000,10.481582932701871,2.574920249198474,7.000000000000000
86,Khmel'nyts'kyy,June,1.000000000000000,10.481582932701871,2.574920249198474,6.000000000000000
87,Khmel'nyts'kyy,May,2.000000000000000,10.481582932701871,2.574920249198474,5.000000000000000
88,Khmel'nyts'kyy,April,1.000000000000000,10.481582932701871,2.574920249198474,4.000000000000000
89,Khmel'nyts'kyy,March,2.000000000000000,10.481582932701871,2.574920249198474,3.000000000000000
90,Khmel'nyts'kyy,February,2.000000000000000,10.481582932701871,2.574920249198474,2.000000000000000
91,Kiev City,October,48.000000000000000,2.386528561966682,0.105227638795779,10.000000000000000
92,Kiev City,September,30.000000000000000,2.386528561966682,0.105227638795779,9.000000000000000
93,Kiev City,August,39.000000000000000,2.386528561966682,0.105227638795779,8.000000000000000
94,Kiev City,July,36.000000000000000,2.386528561966682,0.105227638795779,7.000000000000000
95,Kiev City,June,38.000000000000000,2.386528561966682,0.105227638795779,6.000000000000000
96,Kiev City,May,61.000000000000000,2.386528561966682,0.105227638795779,5.000000000000000
97,Kiev City,April,75.000000000000000,2.386528561966682,0.105227638795779,4.000000000000000
98,Kiev City,March,102.000000000000000,2.386528561966682,0.105227638795779,3.000000000000000
99,Kiev City,February,116.000000000000000,2.386528561966682,0.105227638795779,2.000000000000000
100,Kiev,October,49.000000000000000,16.796135262029509,3.546445725486441,10.000000000000000
101,Kiev,September,30.000000000000000,16.796135262029509,3.546445725486441,9.000000000000000
102,Kiev,August,39.000000000000000,16.796135262029509,3.546445725486441,8.000000000000000
103,Kiev,July,36.000000000000000,16.796135262029509,3.546445725486441,7.000000000000000
104,Kiev,June,38.000000000000000,16.796135262029509,3.546445725486441,6.000000000000000
105,Kiev,May,61.000000000000000,16.796135262029509,3.546445725486441,5.000000000000000
106,Kiev,April,74.000000000000000,16.796135262029509,3.546445725486441,4.000000000000000
107,Kiev,March,99.000000000000000,16.796135262029509,3.546445725486441,3.000000000000000
108,Kiev,February,116.000000000000000,16.796135262029509,3.546445725486441,2.000000000000000
109,Kirovohrad,October,1378.000000000000000,14.477029333459882,3.007393203810482,10.000000000000000
110,Kirovohrad,September,1126.000000000000000,14.477029333459882,3.007393203810482,9.000000000000000
111,Kirovohrad,August,1876.000000000000000,14.477029333459882,3.007393203810482,8.000000000000000
112,Kirovohrad,July,1911.000000000000000,14.477029333459882,3.007393203810482,7.000000000000000
113,Kirovohrad,June,1493.000000000000000,14.477029333459882,3.007393203810482,6.000000000000000
114,Kirovohrad,May,1719.000000000000000,14.477029333459882,3.007393203810482,5.000000000000000
